Country Name,Country Code,Currency Unit,Year,Indicator,Score
Kosovo,XKX,Euro,2020,Overall Score,84.7
Latvia,LVA,Euro,2016,Getting Credit - Score,75
Latvia,LVA,Euro,2016,Resolving insolvency - Score,63.4
Latvia,LVA,Euro,2016,Starting a business - Score,94.1
Latvia,LVA,Euro,2016,Trading across borders - Score,95.3
Latvia,LVA,Euro,2016,Overall Score,81.9
Latvia,LVA,Euro,2017,Getting Credit - Score,85
Latvia,LVA,Euro,2017,Resolving insolvency - Score,64
Latvia,LVA,Euro,2017,Starting a business - Score,94.1
Latvia,LVA,Euro,2017,Trading across borders - Score,95.3
Latvia,LVA,Euro,2017,Overall Score,84.6
Latvia,LVA,Euro,2018,Getting Credit - Score,85
Latvia,LVA,Euro,2018,Resolving insolvency - Score,59.1
Latvia,LVA,Euro,2018,Starting a business - Score,94.1
Latvia,LVA,Euro,2018,Trading across borders - Score,95.3
Latvia,LVA,Euro,2018,Overall Score,83.4
Latvia,LVA,Euro,2019,Getting Credit - Score,85
Latvia,LVA,Euro,2019,Resolving insolvency - Score,59.6
Latvia,LVA,Euro,2019,Starting a business - Score,94.1
Latvia,LVA,Euro,2019,Trading across borders - Score,95.3
Latvia,LVA,Euro,2019,Overall Score,83.5
Latvia,LVA,Euro,2020,Getting Credit - Score,85
Latvia,LVA,Euro,2020,Resolving insolvency - Score,59.8
Latvia,LVA,Euro,2020,Starting a business - Score,94.1
Latvia,LVA,Euro,2020,Trading across borders - Score,95.3
Latvia,LVA,Euro,2020,Overall Score,83.6
Lithuania,LTU,Euro,2016,Getting Credit - Score,70
Lithuania,LTU,Euro,2016,Resolving insolvency - Score,45.7
Lithuania,LTU,Euro,2016,Starting a business - Score,92.9
Lithuania,LTU,Euro,2016,Trading across borders - Score,97.7
Lithuania,LTU,Euro,2016,Overall Score,76.6
Lithuania,LTU,Euro,2017,Getting Credit - Score,70
Lithuania,LTU,Euro,2017,Resolving insolvency - Score,46.7
Lithuania,LTU,Euro,2017,Starting a business - Score,93
Lithuania,LTU,Euro,2017,Trading across borders - Score,97.7
Lithuania,LTU,Euro,2017,Overall Score,76.9
Lithuania,LTU,Euro,2018,Getting Credit - Score,70
Lithuania,LTU,Euro,2018,Resolving insolvency - Score,46.9
Lithuania,LTU,Euro,2018,Starting a business - Score,93.1
Lithuania,LTU,Euro,2018,Trading across borders - Score,97.7
Lithuania,LTU,Euro,2018,Overall Score,76.9
Lithuania,LTU,Euro,2019,Getting Credit - Score,70
Lithuania,LTU,Euro,2019,Resolving insolvency - Score,46.9
Lithuania,LTU,Euro,2019,Starting a business - Score,93.2
Lithuania,LTU,Euro,2019,Trading across borders - Score,97.8
Lithuania,LTU,Euro,2019,Overall Score,77
Lithuania,LTU,Euro,2020,Getting Credit - Score,70
