Country Name,Country Code,Currency Unit,Year,Overall Score,Indicator,Score
Greece,GRC,Euro,2017,71.1,Resolving insolvency,55.1
Greece,GRC,Euro,2017,71.1,Starting a business,90.7
Greece,GRC,Euro,2017,71.1,Trading across borders,93.7
Greece,GRC,Euro,2018,71.3,Getting Creding,45
Greece,GRC,Euro,2018,71.3,Resolving insolvency,54
Greece,GRC,Euro,2018,71.3,Starting a business,92.4
Greece,GRC,Euro,2018,71.3,Trading across borders,93.7
Greece,GRC,Euro,2019,71.2,Getting Creding,45
Greece,GRC,Euro,2019,71.2,Resolving insolvency,53.8
Greece,GRC,Euro,2019,71.2,Starting a business,92.4
Greece,GRC,Euro,2019,71.2,Trading across borders,93.7
Greece,GRC,Euro,2020,72,Getting Creding,45
Greece,GRC,Euro,2020,72,Resolving insolvency,53.1
Greece,GRC,Euro,2020,72,Starting a business,96
Greece,GRC,Euro,2020,72,Trading across borders,93.7
Ireland,IRL,Euro,2016,82.5,Getting Creding,70
Ireland,IRL,Euro,2016,82.5,Resolving insolvency,80
Ireland,IRL,Euro,2016,82.5,Starting a business,92.7
Ireland,IRL,Euro,2016,82.5,Trading across borders,87.2
Ireland,IRL,Euro,2017,82.9,Getting Creding,70
Ireland,IRL,Euro,2017,82.9,Resolving insolvency,80
Ireland,IRL,Euro,2017,82.9,Starting a business,94.4
Ireland,IRL,Euro,2017,82.9,Trading across borders,87.2
Ireland,IRL,Euro,2018,82.7,Getting Creding,70
Ireland,IRL,Euro,2018,82.7,Resolving insolvency,79
Ireland,IRL,Euro,2018,82.7,Starting a business,94.4
Ireland,IRL,Euro,2018,82.7,Trading across borders,87.2
Ireland,IRL,Euro,2019,82.7,Getting Creding,70
Ireland,IRL,Euro,2019,82.7,Resolving insolvency,79.1
Ireland,IRL,Euro,2019,82.7,Starting a business,94.4
Ireland,IRL,Euro,2019,82.7,Trading across borders,87.2
Ireland,IRL,Euro,2020,82.7,Getting Creding,70
Ireland,IRL,Euro,2020,82.7,Resolving insolvency,79.2
Ireland,IRL,Euro,2020,82.7,Starting a business,94.4
Ireland,IRL,Euro,2020,82.7,Trading across borders,87.2
Italy,ITA,Euro,2016,76.9,Getting Creding,45
Italy,ITA,Euro,2016,76.9,Resolving insolvency,76.1
Italy,ITA,Euro,2016,76.9,Starting a business,86.7
Italy,ITA,Euro,2016,76.9,Trading across borders,100
Italy,ITA,Euro,2017,77.1,Getting Creding,45
Italy,ITA,Euro,2017,77.1,Resolving insolvency,76.6
Italy,ITA,Euro,2017,77.1,Starting a business,86.7
Italy,ITA,Euro,2017,77.1,Trading across borders,100
Italy,ITA,Euro,2018,77.2,Getting Creding,45
Italy,ITA,Euro,2018,77.2,Resolving insolvency,77
Italy,ITA,Euro,2018,77.2,Starting a business,86.8
Italy,ITA,Euro,2018,77.2,Trading across borders,100
Italy,ITA,Euro,2019,77.3,Getting Creding,45
Italy,ITA,Euro,2019,77.3,Resolving insolvency,77.3
Italy,ITA,Euro,2019,77.3,Starting a business,86.8
Italy,ITA,Euro,2019,77.3,Trading across borders,100
Italy,ITA,Euro,2020,77.3,Getting Creding,45
Italy,ITA,Euro,2020,77.3,Resolving insolvency,77.5
Italy,ITA,Euro,2020,77.3,Starting a business,86.8
Italy,ITA,Euro,2020,77.3,Trading across borders,100
Kosovo,XKX,Euro,2016,68.9,Getting Creding,75
Kosovo,XKX,Euro,2016,68.9,Resolving insolvency,20.3
Kosovo,XKX,Euro,2016,68.9,Starting a business,93.1
Kosovo,XKX,Euro,2016,68.9,Trading across borders,87
Kosovo,XKX,Euro,2017,71,Getting Creding,75
Kosovo,XKX,Euro,2017,71,Resolving insolvency,20.9
Kosovo,XKX,Euro,2017,71,Starting a business,95.5
Kosovo,XKX,Euro,2017,71,Trading across borders,92.5
Kosovo,XKX,Euro,2018,84.1,Getting Creding,85
Kosovo,XKX,Euro,2018,84.1,Resolving insolvency,63.3
Kosovo,XKX,Euro,2018,84.1,Starting a business,95.7
Kosovo,XKX,Euro,2018,84.1,Trading across borders,92.5
Kosovo,XKX,Euro,2019,84.5,Getting Creding,85
Kosovo,XKX,Euro,2019,84.5,Resolving insolvency,63.4
Kosovo,XKX,Euro,2019,84.5,Starting a business,95.7
Kosovo,XKX,Euro,2019,84.5,Trading across borders,93.8
Kosovo,XKX,Euro,2020,84.7,Getting Creding,85
Kosovo,XKX,Euro,2020,84.7,Resolving insolvency,63.5
Kosovo,XKX,Euro,2020,84.7,Starting a business,95.9
Kosovo,XKX,Euro,2020,84.7,Trading across borders,94.2
Latvia,LVA,Euro,2016,81.9,Getting Creding,75
Latvia,LVA,Euro,2016,81.9,Resolving insolvency,63.4
Latvia,LVA,Euro,2016,81.9,Starting a business,94.1
Latvia,LVA,Euro,2016,81.9,Trading across borders,95.3
Latvia,LVA,Euro,2017,84.6,Getting Creding,85
Latvia,LVA,Euro,2017,84.6,Resolving insolvency,64
Latvia,LVA,Euro,2017,84.6,Starting a business,94.1
Latvia,LVA,Euro,2017,84.6,Trading across borders,95.3
Latvia,LVA,Euro,2018,83.4,Getting Creding,85
Latvia,LVA,Euro,2018,83.4,Resolving insolvency,59.1
Latvia,LVA,Euro,2018,83.4,Starting a business,94.1
Latvia,LVA,Euro,2018,83.4,Trading across borders,95.3
Latvia,LVA,Euro,2019,83.5,Getting Creding,85
Latvia,LVA,Euro,2019,83.5,Resolving insolvency,59.6
Latvia,LVA,Euro,2019,83.5,Starting a business,94.1
Latvia,LVA,Euro,2019,83.5,Trading across borders,95.3
Latvia,LVA,Euro,2020,83.6,Getting Creding,85
Latvia,LVA,Euro,2020,83.6,Resolving insolvency,59.8
Latvia,LVA,Euro,2020,83.6,Starting a business,94.1
Latvia,LVA,Euro,2020,83.6,Trading across borders,95.3
Lithuania,LTU,Euro,2016,76.6,Getting Creding,70
Lithuania,LTU,Euro,2016,76.6,Resolving insolvency,45.7
Lithuania,LTU,Euro,2016,76.6,Starting a business,92.9
Lithuania,LTU,Euro,2016,76.6,Trading across borders,97.7
Lithuania,LTU,Euro,2017,76.9,Getting Creding,70
Lithuania,LTU,Euro,2017,76.9,Resolving insolvency,46.7
Lithuania,LTU,Euro,2017,76.9,Starting a business,93
Lithuania,LTU,Euro,2017,76.9,Trading across borders,97.7
Lithuania,LTU,Euro,2018,76.9,Getting Creding,70
Lithuania,LTU,Euro,2018,76.9,Resolving insolvency,46.9
Lithuania,LTU,Euro,2018,76.9,Starting a business,93.1
Lithuania,LTU,Euro,2018,76.9,Trading across borders,97.7
Lithuania,LTU,Euro,2019,77,Getting Creding,70
Lithuania,LTU,Euro,2019,77,Resolving insolvency,46.9
Lithuania,LTU,Euro,2019,77,Starting a business,93.2
Lithuania,LTU,Euro,2019,77,Trading across borders,97.8
Lithuania,LTU,Euro,2020,77,Getting Creding,70
Lithuania,LTU,Euro,2020,77,Resolving insolvency,46.7
Lithuania,LTU,Euro,2020,77,Starting a business,93.3
Lithuania,LTU,Euro,2020,77,Trading across borders,97.8
Luxembourg,LUX,Euro,2016,62.2,Getting Creding,15
Luxembourg,LUX,Euro,2016,62.2,Resolving insolvency,45.4
Luxembourg,LUX,Euro,2016,62.2,Starting a business,88.4
Luxembourg,LUX,Euro,2016,62.2,Trading across borders,100
Luxembourg,LUX,Euro,2017,62.3,Getting Creding,15
Luxembourg,LUX,Euro,2017,62.3,Resolving insolvency,45.4
Luxembourg,LUX,Euro,2017,62.3,Starting a business,88.7
Luxembourg,LUX,Euro,2017,62.3,Trading across borders,100
Luxembourg,LUX,Euro,2018,62.3,Getting Creding,15
Luxembourg,LUX,Euro,2018,62.3,Resolving insolvency,45.4
Luxembourg,LUX,Euro,2018,62.3,Starting a business,88.8
Luxembourg,LUX,Euro,2018,62.3,Trading across borders,100
Luxembourg,LUX,Euro,2019,62.3,Getting Creding,15
Luxembourg,LUX,Euro,2019,62.3,Resolving insolvency,45.5
Luxembourg,LUX,Euro,2019,62.3,Starting a business,88.7
Luxembourg,LUX,Euro,2019,62.3,Trading across borders,100
Luxembourg,LUX,Euro,2020,62.3,Getting Creding,15
Luxembourg,LUX,Euro,2020,62.3,Resolving insolvency,45.5
Luxembourg,LUX,Euro,2020,62.3,Starting a business,88.8
Luxembourg,LUX,Euro,2020,62.3,Trading across borders,100
Malta,MLT,Euro,2016,53.9,Getting Creding,10
Malta,MLT,Euro,2016,53.9,Resolving insolvency,38.5
Malta,MLT,Euro,2016,53.9,Starting a business,78
Malta,MLT,Euro,2016,53.9,Trading across borders,88.9
Malta,MLT,Euro,2017,59.6,Getting Creding,30
Malta,MLT,Euro,2017,59.6,Resolving insolvency,39.1
Malta,MLT,Euro,2017,59.6,Starting a business,80.2
Malta,MLT,Euro,2017,59.6,Trading across borders,88.9
Malta,MLT,Euro,2018,60.4,Getting Creding,30
Malta,MLT,Euro,2018,60.4,Resolving insolvency,38.1
Malta,MLT,Euro,2018,60.4,Starting a business,84.8
Malta,MLT,Euro,2018,60.4,Trading across borders,88.9
Malta,MLT,Euro,2019,61.7,Getting Creding,35
Malta,MLT,Euro,2019,61.7,Resolving insolvency,38.1
Malta,MLT,Euro,2019,61.7,Starting a business,84.9
Malta,MLT,Euro,2019,61.7,Trading across borders,88.9
Malta,MLT,Euro,2020,62.6,Getting Creding,35
Malta,MLT,Euro,2020,62.6,Resolving insolvency,38.3
Malta,MLT,Euro,2020,62.6,Starting a business,88.2
Malta,MLT,Euro,2020,62.6,Trading across borders,88.9
Montenegro,MNE,Euro,2016,82.2,Getting Creding,85
Montenegro,MNE,Euro,2016,82.2,Resolving insolvency,65.1
